query,tweet_date,username,name,text,url
Avatar The Way of Water,14 Nov 2022,@spicynigel,Avatar Fire and Ash is out now,32 days until Avatar: The Way of Water,https://nitter.net/spicynigel/status/1592302176596103168#m
Avatar The Way of Water,14 Nov 2022,@sachinbahal,Sachin Bahal,"I'm guessing the trailer will debut with Avatar: The Way of Water in theatres or around there and online shortly after, similar to the Avatar 2 first trailer dropping first with Doctor Strange 2 and then online",https://nitter.net/sachinbahal/status/1592292055522635776#m
Avatar The Way of Water,14 Nov 2022,@GoFlixYourself,Go Flix Yourself,We're recording a new episode tonight. We're going to discuss Avatar: The Way of Water. Question for the class: are you excited about the new Avatar film? piped.video/watch?v=d9MyW72E…,https://nitter.net/GoFlixYourself/status/1592291998748360704#m
Avatar The Way of Water,14 Nov 2022,@jjrbs,Juanra,"@Disney @IMDb @20thcentury @antoniobanderas @theofficialmads It's great to know that finally we will watch the first trailer of this fifth part of:""Indiana Jones"" the next month,they will make when is released:""Avatar:The way of water"" in the cinemas.",https://nitter.net/jjrbs/status/1592289817421058049#m
Avatar The Way of Water,14 Nov 2022,@AckleyAttackTV,Ackley Attack TV,"Went out to Walmart today and I finally got my hands on a Blu-ray copy of the movie, ""Avatar."" This one I got is the Extended Collector's Edition which has both the Theatrical and Extended Cuts which is sweet. Can't wait to rewatch this one to hype myself for The Way of Water. :)",https://nitter.net/AckleyAttackTV/status/1592281968422838272#m
Avatar The Way of Water,14 Nov 2022,@Lev65T,Лев,Avatar: The Way of Water | Official Trailer piped.video/d9MyW72ELq0 через @YouTube,https://nitter.net/Lev65T/status/1592275766875660290#m
Avatar The Way of Water,14 Nov 2022,@Lunamoo71330902,Luna⁷ 🏳️‍🌈Pride everyday🌈,Sign was expecting the Avatar movies to be long but way of the water is literally 3 hours and 10 minutes long I'm going to need a pack of lots snacks,https://nitter.net/Lunamoo71330902/status/1592267545725345794#m
Avatar The Way of Water,14 Nov 2022,@EmagineTheatres,Emagine Theatres,"Check out exclusive @TotalFilm stills for Avatar: The Way of Water, only in theaters December 16.",https://nitter.net/EmagineTheatres/status/1592267401361358848#m
Avatar The Way of Water,14 Nov 2022,@moviestuvip,Moviestu,เพื่อความสมจริงของการถ่ายทำฉากใต้น้ำ Avatar: The Way of Water อ่านบทความ : moviestu.com/avatar-the-way-… #Avatar #TheWayofWater #อวตาร2,https://nitter.net/moviestuvip/status/1592259630713167872#m
Avatar The Way of Water,14 Nov 2022,@SoonMovies,Coming Soon Movies,"🍿 COMING SOON 🎬 Title: Avatar: The Way of Water 👀 Director: None 🗓 Release Date: Dec 16, 2022 ⏱ Length: None 🎥 Genre: Action, Adventure, Fantasy 📈 Metacrictic Rating: None #AvatarTheWayofWater",https://nitter.net/SoonMovies/status/1592247655731691520#m
Avatar The Way of Water,14 Nov 2022,@adlumin,Adlumin,We've teamed up with a few partners to invite you to a private screening of Avatar: The Way of the Water on Dec. 15th. Minnesota: bit.ly/3g2uDG3 Massechuetts: bit.ly/3hJ3J6v Washington: bit.ly/3Gdtt5i Texas: bit.ly/3O2Uquu #CyberOnTheRoad,https://nitter.net/adlumin/status/1592243496894734338#m
Avatar The Way of Water,14 Nov 2022,@CharlieSchmidt1,Charlie Schmidt,Rosa Salazar may attend the Los Angeles premiere of Avatar: The Way of Water. #AlitaSequel,https://nitter.net/CharlieSchmidt1/status/1592241590634184704#m
Avatar The Way of Water,14 Nov 2022,@CharlieSchmidt1,Charlie Schmidt,Avatar Way of Water trailer has 34 million views & the Black Panther: Wakanda Forever trailer has 33 million views. Wakanda Forever is heading for over $500 million in domestic box office & Avatar WoW seems headed for $500 million domestic & $1.5 billion international.,https://nitter.net/CharlieSchmidt1/status/1592239182302556161#m
Avatar The Way of Water,14 Nov 2022,@WillTheLandMan,Will Landman 🍥,Attached to Avatar 2: Way of the Water is my guess.,https://nitter.net/WillTheLandMan/status/1592233331856642048#m
